Site,Period,TURB,TSS,TP
Black Rock,1,1.215,1.17,9.64
Charles Inlet,1,1.33,5.633333333,15.92
Corbman Bay,1,2.48,2.73,25.93
Cormican Bay,1,3.3,8.1,16.12
David's Bay north,1,1.015,1.6585,13.445
David's Bay small south,1,2.37,1.09,19.02829201
Ganyon Bay,1,2.315,4.9275,13.48439472
Green Island,1,2.16,1,13.8923045
Key River 3,1,1.9,1.18,26.76
Miner's Creek,1,1.54,3.33,21.82
North Bay,1,3.06,6.355,34.68
North Bay 1,1,1.23,2.3,27.82720943
Oak Bay,1,2.143333333,3.106678108,37.326559
Ojibway Bay,1,1.06,2.035,11.98398217
PI west,1,2.21,3.12,17.3561863
Quarry Island,1,2.865,3.185944445,16.68013972
Roberts Bay,1,1.666666667,2.585333333,15.68163563
Shadow Bay,1,0.7,1.41,26.96
Sturgeon Bay Central,1,2.03,6.9,23.5081151
Tadenac Bay B,1,1.75,2.5,17.077
Treasure Bay,1,3.96,2.533333334,18.6251508
Vennings Bay,1,1.77,1,16.5147983
West Bay,1,4.35,16.354,28.5455694
Black Rock,2,1.07,0.05,18.4
Charles Inlet,2,1.19,0.7,6.81
Corbman Bay,2,1.26,1.3,8.42
Cormican Bay,2,1.23,1.13,8.42
David's Bay north,2,1.09,0.77,11.185
David's Bay small south,2,1.06,1.42,8.96
Ganyon Bay,2,1.483333333,2.560666667,10.74
Green Island,2,2.08,0.05,29.5918446
Key River 3,2,1.75,3.75,12.19
Miner's Creek,2,1.21,3.37,12.32
North Bay,2,1.2,1.97,14.34
North Bay 1,2,1.56,2.3,16.553
Oak Bay,2,1,1.5375,10.4125
Ojibway Bay,2,0.74,1.54,8.775
PI west,2,1.48,1.22,11.773
Quarry Island,2,0.81,6.9,11.11
Roberts Bay,2,0.901,0.823333333,10.20533333
Shadow Bay,2,1.43,0.05,16.23
Sturgeon Bay Central,2,1.08,2.07,9.92
Tadenac Bay B,2,1.1,1.2,3.68
Treasure Bay,2,1.02,2.815,15.135
Vennings Bay,2,4.31,10.18,28.63
West Bay,2,2.62,2.06,17.03
