Wetland Code,Wetland Name,Abun_1,Emer_1,Sub_1,Float_1,Terr_1,Nat_1,Exo_1,Abun_2,Emer_2,Sub_2,Float_2,Terr_2,Nat_2,Exo_2
BV,Beaverstone,39,10,25,4,0,37,2,8,1,4,0,3,8,0
BTB,Big Tub,15,4,11,0,0,14,1,11,6,4,1,0,10,1
BLR,Black Rock,36,9,22,5,0,36,0,7,3,2,0,2,7,0
BG,Boat Passage,24,8,15,1,0,22,2,9,3,6,0,0,8,1
CHI,Charles Inlet,25,4,18,3,0,25,0,17,4,6,1,6,14,3
CRB,Corbman Bay,32,5,22,5,0,32,0,12,2,4,0,6,11,1
CM,Cormican Bay,29,6,21,2,0,29,0,15,1,5,2,7,12,3
CN,Cove Island North,29,10,18,1,0,27,2,7,2,4,1,0,6,1
DV,David's Bay,39,9,26,4,0,39,0,14,4,4,1,5,13,1
DI,Deer Island,41,9,28,4,0,40,1,8,2,1,1,4,7,1
DF,Dogfish Bay,24,5,14,5,0,23,1,10,4,5,0,1,10,0
FP,Francis Point,25,4,19,2,0,25,0,14,2,4,2,6,12,2
GY,Ganyon Bay,29,5,20,4,0,28,1,9,0,5,0,4,9,0
GC,Garden Channel,22,7,14,1,0,22,0,12,1,4,2,5,11,1
GN,Goose Neck Bay,13,2,8,3,0,13,0,16,0,11,1,4,13,3
GI,Green Island,43,10,28,5,0,40,3,10,3,2,0,5,8,2
HB1,Hay Bay 1,31,9,20,2,0,28,3,5,4,1,0,0,5,0
HB2,Hay Bay 2,33,10,19,4,0,31,2,6,2,4,0,0,6,0
HB3,Hay Bay 3,22,9,12,1,0,20,2,8,1,7,0,0,7,1
HRM,Hermann's Bay,44,14,24,6,0,43,1,11,1,5,0,5,9,2
HG,Hog Bay,13,2,9,2,0,12,1,15,4,6,2,3,14,1
HW,Hole in the Wall,17,5,9,3,0,16,1,20,3,13,2,2,20,0
INK,Inukshuk Bay,28,9,17,2,0,28,0,12,3,2,1,6,10,2
IQ,Iroquois Bay,35,9,21,5,0,33,2,13,2,8,0,3,11,2
JB,Jumbo Bay,25,4,21,0,0,24,1,6,2,3,0,1,3,3
KB,Kenerick Bay,22,3,16,3,0,22,0,11,5,4,0,2,10,1
KE,Key River,27,8,15,4,0,26,1,19,3,9,2,5,19,0
KE3,Key River 3,28,9,15,4,0,27,1,20,3,10,1,6,19,1
LACin,La Cloche (inner),22,5,17,0,0,22,0,6,3,2,0,1,5,1
LSP,Lake St. Patrick,35,6,24,5,0,34,1,8,1,2,0,5,6,2
LCH,Lost Channel,24,6,15,3,0,23,1,11,1,4,1,5,9,2
MB,Matchedash Bay,33,11,20,2,0,29,4,4,2,2,0,0,3,1
MNC,Miner's Creek,34,5,25,4,0,32,2,8,1,2,1,4,7,1
MO,Moreaus Bay,33,6,22,5,0,32,1,16,4,8,0,4,16,0
MS,Musky Bay,47,12,30,5,0,44,3,9,2,3,0,4,8,1
NI,Ni Bay,10,4,3,3,0,10,0,17,2,10,2,3,16,1
NB,North Bay,38,9,24,5,0,37,1,6,0,1,0,5,6,0
OB,Oak Bay,41,13,22,6,0,40,1,3,3,0,0,0,2,1
OJ,Ojibway Bay,33,8,20,5,0,31,2,18,5,7,0,6,16,2
PQN,Prisque Bay North,25,5,15,5,0,25,0,11,1,8,0,2,9,2
PQS,Prisque Bay South,29,4,20,5,0,29,0,9,3,5,0,1,7,2
QI,Quarry Island,35,7,25,3,0,34,1,13,3,5,2,3,12,1
RB,Roberts Bay,31,8,18,5,0,30,1,21,5,10,1,5,19,2
RUE,Russel Island East,7,6,1,0,0,7,0,6,1,4,1,0,5,1
RUW,Russel Island West,18,10,7,1,0,16,2,4,1,2,1,0,4,0
SHW,Shadow Bay,28,5,20,3,0,28,0,6,2,3,0,1,6,0
SHR,Shawanaga River,21,4,12,5,0,21,0,10,4,1,0,5,9,1
STCR,Sturgeon Bay Central,37,8,25,4,0,36,1,10,3,2,1,4,10,0
STS,Sturgeon Bay South,23,6,15,2,0,22,1,5,2,3,0,0,4,1
SJ,Sugar John,34,6,24,4,0,34,0,16,4,5,1,6,14,2
TD1,Tadenac Bay 1,36,11,22,3,0,36,0,12,2,5,1,4,12,0
TD2,Tadenac Bay 2,36,7,26,3,0,35,1,9,1,3,0,5,9,0
TB,Treasure Bay,35,9,22,4,0,32,3,11,1,8,0,2,10,1
WTF,Waterfall Bay,27,6,17,4,0,27,0,6,0,2,0,4,6,0
WE,West Bay,25,4,16,5,0,25,0,13,1,4,0,8,11,2
