Site,Period,WQI,Volume
Black Rock,1,2.035,38483.14
Charles Inlet,1,1.18,104098.54
Corbman Bay,1,1.24,80476.95
Cormican Bay,1,1.32,756009.94
David's Bay north,1,1.61,87494.48
David's Bay small south,1,1.92,17589.09
Ganyon Bay,1,1.575,51033.71
Green Island,1,1.145,795939.7
Key River 3,1,1.74,167813.87
Miner's Creek,1,1.77,104317.77
North Bay,1,0.43,94273.52
North Bay 1,1,1.21,99723.13
Oak Bay,1,1.306666667,1346036.647
Ojibway Bay,1,1.695,41294.47
PI west,1,0.99,939830.78
Quarry Island,1,1.31,34713.39
Roberts Bay,1,1.61,135377.19
Shadow Bay,1,1.63,22509.98
Sturgeon Bay Central,1,1.41,32501.78
Tadenac Bay B,1,1.73,34366.23
Treasure Bay,1,1.53,493930.865
Vennings Bay,1,1.23,37584.62
West Bay,1,0.57,68881.5
Black Rock,2,3.26,113138.07
Charles Inlet,2,1.88,130535.51
Corbman Bay,2,2.03,137952.33
Cormican Bay,2,2.02,910067.99
David's Bay north,2,1.76,107457.17
David's Bay small south,2,2.78,40193.39
Ganyon Bay,2,1.95,59985.66
Green Island,2,1.796666667,1066344.44
Key River 3,2,1.7,360660.39
Miner's Creek,2,2.44,136501.52
North Bay,2,1.83,112729.78
North Bay 1,2,1.92,111407.36
Oak Bay,2,2.41,1608978.325
Ojibway Bay,2,1.945,56859.56
PI west,2,1.75,1071997.81
Quarry Island,2,1.45,72781.3
Roberts Bay,2,2.123333333,218855.3367
Shadow Bay,2,2.51,34923.16
Sturgeon Bay Central,2,1.91,50522.32
Tadenac Bay B,2,2.22,44089.45
Treasure Bay,2,1.56,562329.12
Vennings Bay,2,1.76,107891.405
West Bay,2,1.64,134822.56
